"","rowid","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2","Q3","Q4","Q5","Q6","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q18","Q19","Q20","Q21","Q22","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q26","Q27","Q28","Q29","Q30","Q31","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_7","Q33","Q34","Q35","grad_year","practice_type","Q3_lic_pract","grad_year_cat","AABP","AASV","AASRP","AVMA","AAAP","AVC","StateVMA","Foreign","AABP_AVC","Beef_Cattle","Dairy_Cattle","Swine","Sheep","Chickens","Goats","Turkeys","beef_dairy","sheep_goat","chicken_turkey","Q7_cost","Q7_efficacy_safety","Q7_applied_practically","Q7_regulatory_issues","Q7_human_resistance","Q7_animal_resistance","Q7_client_preference","Q7_human_importance","Q9_AST_before","Q10_AST_after","Q11_AST_monitor_disease","Q12_AST_monitor_foodborne","Q13_monitor_path_disease","Q14_monitor_zoo_path","Q15_cost","Q15_time","Q15_not_useful","Q15_unsure_application","Q17_spectrum","Q17_compare_efficacy","Q17_combined_therapy","Q17_AST","Q17_resist_select","Q17_ancillary_therapy","Q17_post_treat_interval","Q17_duration_therapy","Q17_treatment_outcome","certificate_program","Q21_antimicrobial_discontinue_old_client","Q22_risk_relation_morbidity_spike_old_client","Q23_risk_relation_morbidity_spike_new_client","Q24_repro_perform","Q24_econ_perform","Q24_disease_incid","Q24_amu","Q24_treat_outcome","Q25_repro_perform","Q25_econ_perform","Q25_disease_incid","Q25_amu","Q25_treat_outcome","Q26_expand_routine_analysis","Q27_not_applicable","Q27_lack_data","Q27_unwilling_compensate","Q27_unwilling_share_data","Q27_few_animals","Q27_unsure_returns","Q27_not_priority","Q27_no_time","Q28_not_applicable","Q28_lack_data","Q28_unsure_returns","Q28_no_time","Q31_confidential_report_amu","Q32_AVMA_principles","Q32_AVMA_checklist","Q32_AABP_key_elements","Q32_joint_AABP_AVC","Q32_AASV_guidelines","Q32_AASRP_guidelines","Q32_AAAP_guidelines","Q33_need_amu_info","Q34_FARAD","Q34_textbook","Q34_web_search","Q34_literature_search","Q34_CE_notes","Q34_vet_school_notes","Q34_vet_assoc","Q34_pharma_company","Q34_university_contact","Q34_product_label","Q34_reg_doc","Q34_colleague","Q34_listserv","Q34_social_media"
"1",3,"6/4/2021 17:30","6/4/2021 17:39","IP Address","*******","100","504","TRUE","6/4/2021 17:39","R_3EXsmKzPw77l0lc","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2018","Yes","None of these accurately describes my practice","AABP - American Association of Bovine Practitioners,AVC - Academy of Veterinary Consultants,Your state veterinary medical association","Beef cattle","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Not considered","Not considered","Important, but not a major component","Important, but not a major component",NA,"Never","Never","Never","Never",NA,NA,"I don't think the results are useful information","Commonly dealing with polymicrobial infections- will one AST result for one pathogen be representative of the antibiotics’ efficacy in vivo?","Very confident","Very confident","Low confidence","Confident","Confident","Low confidence","Very confident","Very confident","Very confident","Yes, up to 10 hours commitment","Slight","None","Willing but concerned about possible negative consequences","High risk","High risk","Some, 6-25%","> 50%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting",NA,NA,NA,"No","I read it, cannot recall contents","I read it, cannot recall contents","I read it:  provided practical guidance","I read it:  provided practical guidance",NA,NA,NA,"More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Contacting a pharmaceutical company representative,A product label,Asking a colleague",NA,2018,"None","Yes",">2016",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Major","Major","Major","None","None","Important","Important","Never","Never","Never","Never",NA,NA,FALSE,FALSE,TRUE,FALSE,"Very confident","Very confident","Low Confidence","Confident","Confident","Low Confidence","Very confident","Very confident","Very confident","10 hrs","Willing but concerned","High risk","High risk","6-25%","> 50%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No","cannot recall content","cannot recall content","provided practical guidance","provided practical guidance","Unknown","Unknown","Unknown",">5",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"2",4,"6/4/2021 17:30","6/4/2021 17:41","IP Address","*******","100","684","TRUE","6/4/2021 17:41","R_8Cgtwh4IY7YfJuh","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1987","Yes","Owner or Staff veterinarian within a food animal production system","AABP - American Association of Bovine Practitioners","Dairy cattle","Important, but not a major component","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","A major component of my decision process",NA,"Rarely (1-5% of cases)","Rarely (1-5% of cases)",NA,NA,"No","No","Turnaround time,I am unsure about the correct application of the results",NA,"Confident","Low confidence","Low confidence","Confident","Confident","Low confidence","Low confidence","Low confidence","Low confidence","Yes, up to 10 hours commitment","Significant","Significant",NA,NA,NA,NA,NA,NA,NA,NA,"I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data",NA,NA,NA,NA,NA,"Definitely yes","I am aware of the document but have not read it","I am aware of the document but have not read it","I read it:  provided practical guidance","I read it:  provided practical guidance",NA,NA,NA,"1-2 times","A web search,Continuing education proceedings, notes, or presentations,Veterinary association guidance,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague,An organization listserv","We have worked extensively with our land grant college using our farm as a lab for antimicrobial resistance patterns and behavior, and therefor what might constitute judicious use.  Still plenty of fog on the issue, but that experience has been quite helpful and quite eye opening.",1987,"Staff Vet","Yes","1987-1999",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Important","Important","Major","Major","Major","Major","Important","Major","Rarely","Rarely","Unknown","Unknown","No","No",FALSE,TRUE,FALSE,TRUE,"Confident","Low Confidence","Low Confidence","Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Low Confidence","10 hrs","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","have not read","have not read","provided practical guidance","provided practical guidance","Unknown","Unknown","Unknown","1-2",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"3",5,"6/4/2021 17:35","6/4/2021 17:46","IP Address","*******","100","655","TRUE","6/4/2021 17:46","R_3nIfDIDTNO7eHHc","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2004","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,National or local associations outside the U.S.","Dairy cattle,Beef cattle,Swine,Sheep,Goats,Chickens","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","A major component of my decision process","A very minor component","Important, but not a major component",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Rarely (1-5% of clients)","Never",NA,NA,"Turnaround time",NA,"Very confident","Confident","Confident","Not Applicable to my practice","Confident","Confident","Very confident","Confident","Very confident","Yes, up to 10 hours commitment","Moderate","None","Willing but concerned about possible negative consequences","Slight risk","Slight risk","A few, < 5%","A few, < 5%","A few, < 5%","A few, < 5%","A few, < 5%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,I am unsure as to how to return value to the client,I don't have the time",NA,NA,NA,"Possibly","I am aware of the document but have not read it","I am aware of the document but have not read it","I read it, cannot recall contents","I read it, cannot recall contents","I was unaware of the document","I was unaware of the document","I was unaware of the document","3-5 times","Food Animal Residue Avoidance Databank (FARAD),A web search,Continuing education proceedings, notes, or presentations,Contacting a pharmaceutical company representative,A product label,An organization listserv,Social media",NA,2004,"Food Animal Practice","Yes","2000-2010",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Important","Major","Major","Major","Important","Major","Minor","Important","Rarely","Occasionally","Rarely","Never",NA,NA,FALSE,TRUE,FALSE,FALSE,"Very confident","Confident","Confident","Not Applicable","Confident","Confident","Very confident","Confident","Very confident","10 hrs","Willing but concerned","Slight risk","Slight risk","< 5%","< 5%","< 5%","< 5%","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Possibly","have not read","have not read","cannot recall content","cannot recall content","unaware","unaware","unaware","3-5",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"4",6,"6/4/2021 17:38","6/4/2021 17:47","IP Address","*******","100","556","TRUE","6/4/2021 17:47","R_1gA6CddCagXElir","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2018","Yes","Owner or Staff veterinarian within a food animal production system","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle,Sheep,Goats","A major component of my decision process","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","Important, but not a major component","Not considered","A major component of my decision process",NA,"Rarely (1-5% of cases)","Often (> 20% of cases)",NA,NA,"No","No","Cost,Turnaround time",NA,"Very confident","Very confident","Very confident","Confident","Confident","Very confident","Very confident","Very confident","Very confident","Yes, up to 20 hours commitment","Moderate","Slight",NA,NA,NA,NA,NA,NA,NA,NA,"I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data",NA,NA,"This question is not applicable, I review the appropriate relevant data for the flocks/herds under my care",NA,NA,"Definitely yes","I read it: limited practical guidance","I read it: limited practical guidance","I read it:  provided practical guidance","I read it:  provided practical guidance",NA,"I read it:  provided practical guidance",NA,"1-2 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Vet School notes,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Regulatory documents such as from the FDA Center for Veterinary Medicine,An organization listserv",NA,2018,"Staff Vet","Yes",">2016",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Major","Major","Major","Major","Important","Important","None","Major","Rarely","Often","Unknown","Unknown","No","No",TRUE,TRUE,FALSE,FALSE,"Very confident","Very confident","Very confident","Confident","Confident","Very confident","Very confident","Very confident","Very confident","20 hrs","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data","I  routinely review these data",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Definitely yes","limited practical guidance","limited practical guidance","provided practical guidance","provided practical guidance","Unknown","provided practical guidance","Unknown","1-2",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"5",7,"6/4/2021 17:35","6/4/2021 17:47","IP Address","*******","100","757","TRUE","6/4/2021 17:47","R_3RdVTAUFFJSuDhL","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2018","Yes","Private general practice","AABP - American Association of Bovine Practitioners,Your state veterinary medical association","Dairy cattle,Beef cattle,Swine,Sheep,Goats","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","Not considered","A very minor component","Not considered","A very minor component","Previously used antibiotics to treat the same animal (ie a re-treated animal)","Never","Rarely (1-5% of cases)","Never","Never",NA,NA,"Turnaround time","ability to collect appropriate samples for pathogens of concern - we treat the most BRD and nasopharyngeal swabs are maybe? useful in live animals in a herd situation if there is no dead critter to post to submit for testing; actual lung tissue remains my preferred method to test for susceptibility but there is not always an animal to necropsy or an owner willing to euthanize for necropsy and submission","Confident","Confident","Low confidence","Low confidence","Low confidence","Confident","Low confidence","Low confidence","Confident","Yes, up to 40 hours commitment","Slight","None","Willing but concerned about possible negative consequences","Moderate risk","Slight risk","None","None","None","None","None",NA,NA,NA,NA,NA,"Yes","The client number of animals is too small to create value,The client doesn't have the time or this process is not a priority,I don't have the time",NA,NA,NA,"Definitely yes","I am aware of the document but have not read it","I am aware of the document but have not read it","I was unaware of the document","I was unaware of the document","I was unaware of the document","I was unaware of the document",NA,"More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,Continuing education proceedings, notes, or presentations,Vet School notes,A product label,Asking a colleague,Social media",NA,2018,"Private General Practice","Yes",">2016",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Important","Major","Major","Major","None","Minor","None","Minor","Never","Rarely","Never","Never",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Low Confidence","Low Confidence","Low Confidence","Confident","Low Confidence","Low Confidence","Confident","40 hrs","Willing but concerned","Moderate risk","Slight risk","None","None","None","None","None",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","have not read","have not read","unaware","unaware","unaware","unaware","Unknown",">5",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"6",8,"6/4/2021 17:35","6/4/2021 17:48","IP Address","*******","100","755","TRUE","6/4/2021 17:48","R_3hcCsJMQVGmzOrF","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2011","Yes","Private general practice","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle,Swine,Sheep,Goats,Chickens,Turkeys","Important, but not a major component","A major component of my decision process","A major component of my decision process","A major component of my decision process","A very minor component","Not considered","Important, but not a major component","A very minor component",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Never","Never",NA,NA,"Cost,Turnaround time,I am unsure about the correct application of the results","The unknown costs of culture - ie, x if 1 pathogen, but 3x if 3 pathogens - don't know if 1 or 2, 3, or more pathogens until cultured, etc. Then susceptibility costs may be x, 2x, 3x, depending if the pathogens cultured are thought to be primary or relevant, etc. Just leaves a lot of unknowns/speculations and not enough definitive information for clients to make an informed decision.","Low confidence","Low confidence","Low confidence","Low confidence","Low confidence","Low confidence","Very confident","Very confident","Very confident","No","Moderate","Slight","Willing but concerned about possible negative consequences","High risk","High risk","Some, 6-25%","Some, 6-25%","Some, 6-25%","A few, < 5%","A few, < 5%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client is unwilling to share data,The client doesn't have the time or this process is not a priority",NA,NA,NA,"Possibly","I am aware of the document but have not read it","I was unaware of the document","I am aware of the document but have not read it","I am aware of the document but have not read it","I was unaware of the document","I was unaware of the document","I was unaware of the document","3-5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague,An organization listserv,Social media","****** important to note **** when using ""social media"" for treatment guidance, it's DVM only forums, which is akin to ""asking a colleague"". Not like I'm going to Twitter to see what the masses say I should use or posting it as a question on my Facebook wall for the general public to vote on or something...",2011,"Private General Practice","Yes","2011-2016",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Important","Major","Major","Major","Minor","None","Important","Minor","Rarely","Occasionally","Never","Never",NA,NA,TRUE,TRUE,FALSE,TRUE,"Low Confidence","Low Confidence","Low Confidence","Low Confidence","Low Confidence","Low Confidence","Very confident","Very confident","Very confident","No","Willing but concerned","High risk","High risk","6-25%","6-25%","6-25%","< 5%","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","have not read","unaware","have not read","have not read","unaware","unaware","unaware","3-5",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"7",9,"6/4/2021 17:46","6/4/2021 17:51","IP Address","*******","100","330","TRUE","6/4/2021 17:51","R_1LIrPrmtx0gmJYJ","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1989","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AASRP - American Association of Small Ruminant Practitioners,National or local associations outside the U.S.","Dairy cattle,Beef cattle,Swine,Sheep,Goats,Chickens,Turkeys","Important, but not a major component","A major component of my decision process","A major component of my decision process","Important, but not a major component","A very minor component","A very minor component","A major component of my decision process","A very minor component",NA,"Occasionally (6-15% of cases)","Occasionally (6-15% of cases)","Never","Never",NA,NA,"Cost,Turnaround time",NA,"Confident","Confident","Confident","Low confidence","Low confidence","Confident","Very confident","Very confident","Confident","Yes, up to 20 hours commitment","Moderate","Moderate","Unwilling","Slight risk","Moderate risk","> 50%","26-50%","26-50%","> 50%","Some, 6-25%",NA,NA,NA,NA,NA,"Yes","The client doesn't have the time or this process is not a priority,I don't have the time",NA,NA,NA,"Definitely yes","I read it: limited practical guidance","I read it: limited practical guidance","I read it: limited practical guidance","I was unaware of the document","I was unaware of the document","I read it, cannot recall contents","I was unaware of the document","More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,Continuing education proceedings, notes, or presentations,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist",NA,1989,"Food Animal Practice","Yes","1987-1999",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Important","Major","Major","Important","Minor","Minor","Major","Minor","Occasionally","Occasionally","Never","Never",NA,NA,TRUE,TRUE,FALSE,FALSE,"Confident","Confident","Confident","Low Confidence","Low Confidence","Confident","Very confident","Very confident","Confident","20 hrs","Unwilling","Slight risk","Moderate risk","> 50%","26-50%","26-50%","> 50%","6-25%",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Definitely yes","limited practical guidance","limited practical guidance","limited practical guidance","unaware","unaware","cannot recall content","unaware",">5",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",10,"6/4/2021 17:40","6/4/2021 17:52","IP Address","*******","100","733","TRUE","6/4/2021 17:52","R_31LwHADaGZqQM6H","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","2011","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle,Sheep,Goats","A major component of my decision process","A major component of my decision process","A major component of my decision process","Important, but not a major component","A very minor component","A very minor component","Important, but not a major component","A very minor component",NA,"Rarely (1-5% of cases)","Occasionally (6-15% of cases)","Occasionally (6-15% of clients)","Never",NA,NA,"Cost,Turnaround time",NA,"Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","No","Moderate","Slight","Willing but concerned about possible negative consequences","Slight risk","Slight risk","26-50%","A few, < 5%","Some, 6-25%","A few, < 5%","A few, < 5%",NA,NA,NA,NA,NA,"Yes","Lack of appropriate data system for collection and reporting,The client is unwilling to compensate for the interaction,The client is unwilling to share data,The client doesn't have the time or this process is not a priority,I don't have the time",NA,NA,NA,"Possibly","I read it, cannot recall contents","I read it, cannot recall contents","I am aware of the document but have not read it","I read it, cannot recall contents",NA,"I read it, cannot recall contents",NA,"More than 5 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,Continuing education proceedings, notes, or presentations,Vet School notes,Veterinary association guidance,Contacting a pharmaceutical company representative,Contacting someone such as a university clinician, diagnostician, microbiologist, or clinical pharmacologist,A product label,Asking a colleague,An organization listserv",NA,2011,"Food Animal Practice","Yes","2011-2016",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Major","Major","Major","Important","Minor","Minor","Important","Minor","Rarely","Occasionally","Occasionally","Never",NA,NA,TRUE,TRUE,FALSE,FALSE,"Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","Confident","No","Willing but concerned","Slight risk","Slight risk","26-50%","< 5%","6-25%","< 5%","< 5%",NA,NA,NA,NA,NA,"Yes",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Possibly","cannot recall content","cannot recall content","have not read","cannot recall content","Unknown","cannot recall content","Unknown",">5",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"9",11,"6/4/2021 17:45","6/4/2021 17:55","IP Address","*******","100","550","TRUE","6/4/2021 17:55","R_WpJizH0XqCfdjGN","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1974","Yes","None of these accurately describes my practice","AVC - Academy of Veterinary Consultants,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Beef cattle,Swine,Sheep","Important, but not a major component","A major component of my decision process","Important, but not a major component","Important, but not a major component","A very minor component","Important, but not a major component","Important, but not a major component","A very minor component","I do a lot of nutritional management and often need a product that is cost effective, easy to use, that will not decrease intake, and is effective.","Often (> 20% of cases)","Often (> 20% of cases)","Often (> 20% of clients)","Occasionally (6-15% of clients)",NA,NA,"Turnaround time","none","Confident","Confident","Confident","Very confident","Confident","Confident","Low confidence","Confident","Confident","Yes, up to 10 hours commitment","Moderate","Moderate","Willing but concerned about possible negative consequences","Moderate risk","Slight risk","26-50%","Some, 6-25%","> 50%","26-50%","> 50%",NA,NA,NA,NA,NA,"Yes","The client is unwilling to compensate for the interaction,The client is unwilling to share data,The client number of animals is too small to create value",NA,NA,NA,"Possibly","I am aware of the document but have not read it","I read it, cannot recall contents","I read it: limited practical guidance","I read it: limited practical guidance","I was unaware of the document","I was unaware of the document",NA,"1-2 times","Food Animal Residue Avoidance Databank (FARAD),A textbook, drug handbook or other hard copy resource,A web search,A literature search through a database such as Pubmed or Agricola and review of the articles of interest,Continuing education proceedings, notes, or presentations,Veterinary association guidance,Contacting a pharmaceutical company representative,A product label,Regulatory documents such as from the FDA Center for Veterinary Medicine,Asking a colleague",NA,1974,"None","Yes","<1987",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Important","Major","Important","Important","Minor","Important","Important","Minor","Often","Often","Often","Occasionally",NA,NA,FALSE,TRUE,FALSE,FALSE,"Confident","Confident","Confident","Very confident","Confident","Confident","Low Confidence","Confident","Confident","10 hrs","Willing but concerned","Moderate risk","Slight risk","26-50%","6-25%","> 50%","26-50%","> 50%",NA,NA,NA,NA,NA,"Yes",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Possibly","have not read","cannot recall content","limited practical guidance","limited practical guidance","unaware","unaware","Unknown","1-2",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"10",12,"6/4/2021 17:45","6/4/2021 17:59","IP Address","*******","100","834","TRUE","6/4/2021 17:59","R_2qD8iCawlVAEMGY","*******","*******","*******","*******","*******","*******","anonymous","EN","Yes, I agree to participate","1983","Yes","Private practice that is primarily food animal","AABP - American Association of Bovine Practitioners,AVMA - American Veterinary Medical Association,Your state veterinary medical association","Dairy cattle,Beef cattle,Swine,Sheep,Goats","A very minor component","A major component of my decision process","A major component of my decision process","A major component of my decision process","A very minor component","Important, but not a major component","A very minor component","A very minor component",NA,"Never","Never","Never","Never",NA,NA,"Turnaround time",NA,"Very confident","Very confident","Very confident","Not Applicable to my practice","Very confident","Very confident","Very confident","Very confident","Very confident","No","Slight","Slight","Willing without hesitation","No risk","No risk","> 50%","> 50%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"No","This question is not applicable, I review the appropriate relevant data for all of my clients",NA,NA,NA,"No","I read it:  provided practical guidance","I read it:  provided practical guidance","I read it:  provided practical guidance","I read it:  provided practical guidance","I was unaware of the document","I was unaware of the document",NA,"None or rarely","A product label",NA,1983,"Food Animal Practice","Yes","<1987",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"Minor","Major","Major","Major","Minor","Important","Minor","Minor","Never","Never","Never","Never",NA,NA,FALSE,TRUE,FALSE,FALSE,"Very confident","Very confident","Very confident","Not Applicable","Very confident","Very confident","Very confident","Very confident","Very confident","No","Willing without hesitation","No risk","No risk","> 50%","> 50%","> 50%","> 50%","> 50%",NA,NA,NA,NA,NA,"No",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No","provided practical guidance","provided practical guidance","provided practical guidance","provided practical guidance","unaware","unaware","Unknown","None",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
